Country,Per capita income,Life expectancy,% tertiary education,Health expenditures,Per capita GDP,GINI
Australia,43372,82.0,38.3,8.9,44407,0.33
Austria,43869,81.1,19.3,10.8,44141,0.27
Belgium,40949,80.5,34.6,10.5,40838,0.26
Canada,38241,81.0,51.3,11.2,41150,0.32
Chile,20472,78.3,28.8,7.5,21486,0.50
Czech Republic,25483,78.0,18.3,7.5,27522,0.26
Denmark,44079,79.9,33.7,10.9,42787,0.25
Estonia,23103,76.3,36.8,5.9,24260,0.32
Finland,39159,80.6,39.3,9.0,39207,0.26
France,37567,82.2,29.8,11.6,36933,0.30
Germany,42924,80.8,27.6,11.3,41923,0.29
Greece,25712,80.8,26.1,9.1,25586,0.34
Hungary,21419,75.0,21.1,7.9,22635,0.27
Iceland,34775,82.4,33.9,9.0,39097,0.24
Ireland,35767,80.6,37.7,8.9,43803,0.33
Israel,28430,81.8,46.4,7.7,29349,0.38
Italy,33920,82.7,14.9,9.2,34143,0.32
Japan,36752,82.7,46.4,9.6,35622,0.34
Korea,30178,81.1,40.4,7.4,30011,0.31
Luxembourg,60888,81.1,37.0,6.6,89417,0.27
Mexico,16875,74.2,17.3,6.2,17952,0.47
Netherlands,43757,81.3,32.1,11.9,43348,0.29
New Zealand,29872,81.2,39.3,10.3,32847,0.32
Norway,67440,81.4,38.1,9.3,66135,0.25
Poland,21826,76.9,23.7,6.9,22783,0.31
Portugal,25172,80.8,17.3,10.2,25802,0.34
Slovak Republic,25238,76.1,18.8,7.9,25848,0.26
Slovenia,28169,80.1,25.1,8.9,28482,0.25
Spain,32172,82.4,31.6,9.3,32551,0.34
Sweden,43967,81.9,35.2,9.5,42874,0.27
Switzerland,55465,82.8,35.2,11.0,53641,0.30
United Kingdom,35571,81.1,39.4,9.4,35671,0.34
United States,52547,78.7,42.4,17.7,51689,0.38
